threshold,net_benefit_model_2pct,net_benefit_treatall_2pct,net_benefit_model_5pct,net_benefit_treatall_5pct
0.01,0.358329,0.419729,0.385831,0.419729
0.015,0.343171,0.416784,0.372561,0.416784
0.02,0.32936,0.413808,0.36365,0.413808
0.025,0.323348,0.410802,0.356114,0.410802
0.03,0.320585,0.407765,0.350442,0.407765
0.035,0.314021,0.404696,0.343766,0.404696
0.04,0.304266,0.401596,0.337712,0.401596
0.045,0.299128,0.398463,0.329087,0.398463
0.05,0.294038,0.395297,0.326139,0.395297
0.055,0.284322,0.392097,0.324706,0.392097
0.06,0.279765,0.388864,0.321851,0.388864
0.065,0.273486,0.385596,0.319035,0.385596
0.07,0.270349,0.382292,0.316757,0.382292
0.075,0.26452,0.378953,0.31664,0.378953
0.08,0.257057,0.375578,0.31329,0.375578
0.085,0.251349,0.372166,0.310041,0.372166
0.09,0.246314,0.368716,0.306134,0.368716
0.095,0.23795,0.365229,0.301488,0.365229
0.1,0.231822,0.361702,0.298804,0.361702
0.105,0.225513,0.358136,0.296943,0.358136
0.11,0.215924,0.35453,0.295047,0.35453
0.115,0.205539,0.350884,0.291731,0.350884
0.12,0.196325,0.347195,0.289989,0.347195
0.125,0.184397,0.343465,0.288017,0.343465
0.13,0.167152,0.339692,0.282843,0.339692
0.135,0.146599,0.335875,0.278981,0.335875
0.14,0.111871,0.332014,0.277615,0.332014
0.145,0.0,0.328108,0.27304,0.328108
0.15,0.0,0.324155,0.270528,0.324155
0.155,0.0,0.320156,0.269683,0.320156
0.16,0.0,0.316109,0.266341,0.316109
0.165,0.0,0.312014,0.265322,0.312014
0.17,0.0,0.30787,0.262139,0.30787
0.175,0.0,0.303675,0.260399,0.303675
0.18,0.0,0.299429,0.257112,0.299429
0.185,0.0,0.295131,0.251985,0.295131
0.19,0.0,0.29078,0.250177,0.29078
0.195,0.0,0.286375,0.247586,0.286375
0.2,0.0,0.281915,0.245164,0.281915
0.205,0.0,0.277399,0.241305,0.277399
0.21,0.0,0.272825,0.237625,0.272825
0.215,0.0,0.268194,0.233611,0.268194
0.22,0.0,0.263502,0.230323,0.263502
0.225,0.0,0.258751,0.227907,0.258751
0.23,0.0,0.253938,0.224581,0.253938
0.235,0.0,0.249061,0.220162,0.249061
0.24,0.0,0.244121,0.215752,0.244121
0.245,0.0,0.239115,0.210499,0.239115
0.25,0.0,0.234043,0.204599,0.234043
0.255,0.0,0.228902,0.201074,0.228902
0.26,0.0,0.223692,0.1948,0.223692
0.265,0.0,0.218411,0.188932,0.218411
0.27,0.0,0.213057,0.182728,0.213057
0.275,0.0,0.20763,0.17068,0.20763
0.28,0.0,0.202128,0.162512,0.202128
0.285,0.0,0.196548,0.148941,0.196548
0.29,0.0,0.19089,0.136277,0.19089
0.295,0.0,0.185152,0.115245,0.185152
0.3,0.0,0.179331,0.08483,0.179331
0.305,0.0,0.173427,0.0,0.173427
0.31,0.0,0.167438,0.0,0.167438
0.315,0.0,0.16136,0.0,0.16136
0.32,0.0,0.155194,0.0,0.155194
0.325,0.0,0.148936,0.0,0.148936
0.33,0.0,0.142585,0.0,0.142585
0.335,0.0,0.136138,0.0,0.136138
0.34,0.0,0.129594,0.0,0.129594
0.345,0.0,0.122949,0.0,0.122949
0.35,0.0,0.116203,0.0,0.116203
0.355,0.0,0.109352,0.0,0.109352
0.36,0.0,0.102394,0.0,0.102394
0.365,0.0,0.095326,0.0,0.095326
0.37,0.0,0.088146,0.0,0.088146
0.375,0.0,0.080851,0.0,0.080851
0.38,0.0,0.073439,0.0,0.073439
0.385,0.0,0.065906,0.0,0.065906
0.39,0.0,0.058249,0.0,0.058249
0.395,0.0,0.050466,0.0,0.050466
0.4,0.0,0.042553,0.0,0.042553
