Characteristic,ICD-coded PTSD+ (Training Positives),Pharmacological Proxy (External Validation),Matched Unlabeled Pool (PU Pool)
N,5711,163,17133
Female_n,3513,91,10539
Female_pct,61.5,55.8,61.5
Male_n,2198,72,6594
Male_pct,38.5,44.2,38.5
OtherSex_n,0,0,0
OtherSex_pct,0.0,0.0,0.0
Age_mean,43.0,46.8,45.5
Age_sd,15.9,17.3,18.0
Age_20s_n,1209,31,3627
Age_20s_pct,21.2,19.0,21.2
Age_30s_n,1256,27,3768
Age_30s_pct,22.0,16.6,22.0
Age_40s_n,1048,34,3144
Age_40s_pct,18.4,20.9,18.4
Age_50s_n,1043,35,3129
Age_50s_pct,18.3,21.5,18.3
Age_Other_n,1155,36,3465
Age_Other_pct,20.2,22.1,20.2
Race_White_Non_Hispanic_n,3745,101,10319
Race_White_Non_Hispanic_pct,65.6,62.0,60.2
Race_Black_African_American_n,895,16,2629
Race_Black_African_American_pct,15.7,9.8,15.3
Race_Hispanic_Latino_n,371,19,1187
Race_Hispanic_Latino_pct,6.5,11.7,6.9
Race_Asian_n,139,3,835
Race_Asian_pct,2.4,1.8,4.9
Race_Other_Unknown_n,561,24,2163
Race_Other_Unknown_pct,9.8,14.7,12.6
Single_admit_n,1600,64,9916
Single_admit_pct,28.0,39.3,57.9
Multi_admit_n,4111,99,7217
Multi_admit_pct,72.0,60.7,42.1
Admissions_median,2.0,2.0,1.0
Admissions_Q1,1.0,1.0,1.0
Admissions_Q3,5.0,4.0,2.0
PreDx_n,2492,N/A,N/A
PreDx_pct,43.6,N/A,N/A
LOS_median,2.7,2.6,2.2
LOS_Q1,0.8,0.8,0.9
LOS_Q3,5.8,5.4,4.5
Emergency_n,1607,64,5353
Emergency_pct,28.1,39.3,31.2
MedicaidSelfPay_n,2334,52,3739
MedicaidSelfPay_pct,40.9,31.9,21.8
Dx_MDD_n,1040,0,0
Dx_MDD_pct,18.2,0.0,0.0
Dx_Anxiety_n,976,0,0
Dx_Anxiety_pct,17.1,0.0,0.0
Dx_SUD_n,1201,0,0
Dx_SUD_pct,21.0,0.0,0.0
Dx_TBI_n,39,0,0
Dx_TBI_pct,0.7,0.0,0.0
Dx_ChronicPain_n,447,0,0
Dx_ChronicPain_pct,7.8,0.0,0.0
Dx_Suicidal_n,776,0,0
Dx_Suicidal_pct,13.6,0.0,0.0
Rx_SSRI_SNRI_n,803,0,0
Rx_SSRI_SNRI_pct,14.1,0.0,0.0
Rx_Prazosin_n,66,0,0
Rx_Prazosin_pct,1.2,0.0,0.0
Rx_SGA_n,572,0,0
Rx_SGA_pct,10.0,0.0,0.0
