token,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
ts,0.271494,0.237208,92,24.9775
schizophrenia,0.126397,0.087378,4,0.5056
contin,0.114597,0.137853,3,0.3438
counseling,0.103196,0.003773,3,0.3096
overdose,0.100977,0.143057,6,0.6059
admissions,0.098028,0.046789,3,0.2941
psychiatric,0.097489,0.089836,24,2.3397
violence,0.09055,0.074205,3,0.2717
trauma,0.077545,0.073156,10,0.7754
detox,0.077545,0.062166,4,0.3102
suicide,0.074734,0.07513,19,1.4199
disorder,0.071431,0.063001,47,3.3573
falls,0.070275,0.071498,4,0.2811
suicidal,0.062302,0.060909,28,1.7445
psychiatrist,0.061328,0.037375,10,0.6133
abusive,0.05799,0.01636,4,0.232
dysfunction,0.055918,0.052659,3,0.1678
bipolar,0.053615,0.041719,11,0.5898
personality,0.05282,0.051602,6,0.3169
bid,0.05152,0.027426,6,0.3091
flashbacks,0.050871,0.019477,6,0.3052
psychiatry,0.050268,0.034464,9,0.4524
depressed,0.050078,0.032136,23,1.1518
xiety,0.049702,0.061426,13,0.6461
seizures,0.049535,0.061234,6,0.2972
counselor,0.049214,0.059175,4,0.1969
anxiety,0.048592,0.039597,24,1.1662
stress,0.048312,0.049452,24,1.1595
substance,0.047661,0.074659,9,0.4289
psych,0.047296,0.100427,43,2.0337
omnia,0.046602,0.035405,3,0.1398
cad,0.045314,0.088257,6,0.2719
heroin,0.04531,0.030311,6,0.2719
depressive,0.045047,0.05011,8,0.3604
assaulted,0.043668,0.032057,3,0.131
assault,0.042349,0.028684,5,0.2117
narcotics,0.041874,0.017848,4,0.1675
emotionally,0.041243,0.00504,3,0.1237
oph,0.04117,0.086548,7,0.2882
depression,0.041073,0.060723,43,1.7661
ultrasound,0.039042,0.03277,6,0.2343
psychotic,0.038113,0.02808,6,0.2287
tear,0.037483,0.038147,4,0.1499
psychosis,0.036227,0.004615,4,0.1449
raped,0.03602,0.021847,4,0.1441
abuse,0.035915,0.032304,33,1.1852
hitting,0.035317,0.018273,3,0.106
request,0.035043,0.025402,3,0.1051
mas,0.033649,0.035529,83,2.7928
cerning,0.033009,0.029742,3,0.099
