token,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
details,0.373232,0.907275,7,2.6126
ts,0.302766,0.373267,89,26.9461
mr,0.096281,0.377623,31,2.9847
violence,0.093414,0.068132,3,0.2802
psychiatric,0.087381,0.081103,25,2.1845
counseling,0.084704,0.034491,3,0.2541
schizophrenia,0.079876,0.080858,9,0.7189
trauma,0.07226,0.08391,11,0.7949
falls,0.067281,0.063509,3,0.2018
bipolar,0.06722,0.063348,13,0.8739
suicidal,0.062132,0.061406,33,2.0503
disorder,0.061878,0.051397,48,2.9701
abusive,0.061225,0.020218,4,0.2449
personality,0.060876,0.059343,5,0.3044
program,0.06048,0.114154,6,0.3629
presented,0.057658,0.189595,22,1.2685
dysfunction,0.055481,0.051709,3,0.1664
psychiatrist,0.054937,0.036654,12,0.6592
received,0.05301,0.199067,19,1.0072
suicide,0.050946,0.042193,18,0.917
bid,0.050488,0.027689,6,0.3029
flashbacks,0.04984,0.016708,6,0.299
psychiatry,0.047106,0.040515,11,0.5182
counselor,0.046621,0.055664,4,0.1865
xiety,0.046458,0.05783,13,0.6039
stress,0.046191,0.041638,25,1.1548
depressed,0.046119,0.035412,25,1.153
anxiety,0.045002,0.050008,26,1.1701
psych,0.04496,0.098335,43,1.9333
returned,0.044648,0.055735,8,0.3572
omnia,0.043704,0.036834,3,0.1311
assault,0.042692,0.027739,6,0.2561
ipolar,0.041006,0.059369,11,0.4511
substance,0.040705,0.058991,10,0.407
heroin,0.040445,0.033772,8,0.3236
oved,0.040196,0.018455,3,0.1206
depressive,0.039983,0.046163,10,0.3998
diet,0.039565,0.028527,7,0.277
depression,0.039247,0.054793,40,1.5699
psychotic,0.038362,0.02947,6,0.2302
oph,0.037971,0.087027,8,0.3038
assaulted,0.03564,0.022531,3,0.1069
mas,0.035509,0.037703,79,2.8052
detox,0.035003,0.023702,4,0.14
minutes,0.034288,0.072615,7,0.24
emotionally,0.032922,0.020176,4,0.1317
meth,0.032629,0.018201,4,0.1305
mitted,0.032455,0.023444,3,0.0974
imp,0.031784,0.038748,3,0.0954
iciency,0.031617,0.010272,3,0.0948
