token,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
ts,0.234246,0.251866,82,19.2082
mas,0.184261,0.164547,70,12.8983
ipolar,0.133993,0.171005,15,2.0099
ed,0.092065,0.200426,244,22.4639
disorder,0.074829,0.067574,52,3.8911
xiety,0.073466,0.094104,17,1.2489
personality,0.066053,0.037568,9,0.5945
ines,0.062401,0.087782,3,0.1872
bipolar,0.056882,0.065743,14,0.7964
intoxicated,0.054894,0.104156,6,0.3294
hma,0.054518,0.044833,11,0.5997
substance,0.053561,0.093189,19,1.0177
depression,0.050637,0.13124,42,2.1268
ferred,0.049744,0.043222,7,0.3482
fiance,0.048968,0.092414,5,0.2448
abusive,0.043861,0.017848,3,0.1316
mur,0.040908,0.038413,4,0.1636
ression,0.040698,0.053689,26,1.0582
cognitive,0.039728,0.029291,3,0.1192
psychiatric,0.037454,0.037541,31,1.1611
detox,0.037361,0.018894,8,0.2989
female,0.03387,0.097936,13,0.4403
abuse,0.033623,0.044398,57,1.9165
psychiatrist,0.032649,0.026777,7,0.2285
heroin,0.032191,0.026417,7,0.2253
acting,0.031924,0.039819,3,0.0958
assault,0.031689,0.023754,5,0.1584
suicide,0.031496,0.024335,28,0.8819
schizophrenia,0.031369,0.031715,7,0.2196
kill,0.030794,0.026527,5,0.154
suicidal,0.030142,0.032757,29,0.8741
depressive,0.030133,0.054416,12,0.3616
drugs,0.029965,0.029963,5,0.1498
transferred,0.029393,0.030262,15,0.4409
describes,0.029072,0.044317,9,0.2617
psychiatry,0.02879,0.037002,14,0.4031
dep,0.026331,0.039625,36,0.9479
hurt,0.025893,0.020752,4,0.1036
bleed,0.025107,0.021644,3,0.0753
vc,0.025037,0.008259,3,0.0751
alg,0.025012,0.020309,3,0.075
ocd,0.02413,0.026932,5,0.1206
mad,0.023363,0.023477,9,0.2103
order,0.023325,0.024309,11,0.2566
tear,0.023189,0.013538,3,0.0696
izations,0.022772,0.020611,11,0.2505
thyroid,0.022548,0.00439,3,0.0676
ective,0.022369,0.014613,7,0.1566
therapist,0.022292,0.028061,11,0.2452
tobacco,0.022048,0.017843,4,0.0882
