token,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
ipolar,0.278218,0.37063,17,4.7297
mas,0.2533,0.239208,71,17.9843
ts,0.234852,0.265981,87,20.4321
mur,0.197357,0.05167,4,0.7894
ed,0.140545,0.28726,230,32.3254
intoxicated,0.10966,0.131402,3,0.329
schizophrenia,0.108335,0.189001,8,0.8667
cocaine,0.079341,0.12985,9,0.7141
ill,0.077949,0.100465,3,0.2338
narc,0.077681,0.076094,4,0.3107
substances,0.076851,0.104606,3,0.2306
personality,0.076182,0.071104,9,0.6856
hma,0.069785,0.087621,7,0.4885
substance,0.065167,0.178434,13,0.8472
foreign,0.06343,0.050674,4,0.2537
ocd,0.061731,0.069555,8,0.4938
against,0.060623,0.060918,4,0.2425
motor,0.058482,0.123116,8,0.4679
disorder,0.058107,0.116273,63,3.6607
paranoid,0.05785,0.069096,5,0.2893
xiety,0.056776,0.069944,18,1.022
depression,0.056458,0.127839,33,1.8631
hiv,0.054303,0.105454,8,0.4344
trying,0.054234,0.076306,5,0.2712
tear,0.053022,0.006037,3,0.1591
consumption,0.050907,0.030534,4,0.2036
psychiatric,0.050526,0.047201,38,1.92
abuse,0.046742,0.111332,61,2.8513
assault,0.045837,0.041155,6,0.275
yo,0.045301,0.041918,15,0.6795
bipolar,0.044909,0.075777,18,0.8084
detox,0.044505,0.034858,5,0.2225
social,0.043209,0.099779,17,0.7346
drove,0.042847,0.051717,3,0.1285
ferred,0.042604,0.044446,8,0.3408
psychosis,0.041522,0.050201,7,0.2907
suicidal,0.040666,0.058831,23,0.9353
narcotics,0.040462,0.004099,3,0.1214
kill,0.03952,0.03266,6,0.2371
seizures,0.038919,0.020693,3,0.1168
weapons,0.036916,0.018798,4,0.1477
die,0.036849,0.043932,3,0.1105
echo,0.036843,0.028312,8,0.2947
tobacco,0.036406,0.047917,6,0.2184
psychiatrist,0.036371,0.039283,9,0.3273
suicide,0.035965,0.029171,22,0.7912
transferred,0.03577,0.037619,14,0.5008
ultrasound,0.035223,0.030939,3,0.1057
ism,0.035061,0.05401,13,0.4558
alg,0.034987,0.04183,4,0.1399
