word,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
psych,0.39353,0.224093,5,1.9676
anxiety,0.239589,0.28115,12,2.8751
-depression,0.237937,0.150473,3,0.7138
bipolar,0.219286,0.24483,15,3.2893
numerous,0.201256,0.145546,3,0.6038
psychiatric,0.194391,0.167788,16,3.1103
overdose,0.177351,0.106784,3,0.5321
suicide,0.175227,0.094109,10,1.7523
disorder,0.164787,0.161215,27,4.4492
dilaudid,0.156214,0.09933,5,0.7811
abuse,0.137587,0.144302,24,3.3021
methadone,0.13373,0.07894,3,0.4012
suicidal,0.12502,0.098331,10,1.2502
stress,0.121202,0.114447,6,0.7272
depression,0.119943,0.140494,25,2.9986
substance,0.118408,0.087841,10,1.1841
morphine,0.116965,0.063712,6,0.7018
psychiatry,0.110776,0.057464,4,0.4431
polysubstance,0.109261,0.086903,9,0.9834
hospitalizations,0.103734,0.089326,6,0.6224
-anxiety,0.099341,0.053018,3,0.298
panic,0.098347,0.114518,6,0.5901
oxycodone,0.093336,0.028093,4,0.3733
hospitalization,0.091164,0.092134,6,0.547
hysterectomy,0.0877,0.053813,3,0.2631
heroin,0.086213,0.018838,3,0.2586
admission,0.082006,0.201058,19,1.5581
heparin,0.079361,0.079031,3,0.2381
personality,0.076807,0.072467,9,0.6913
cocaine,0.070874,0.042762,4,0.2835
acetaminophen,0.065407,0.021041,6,0.3924
social,0.063826,0.020125,3,0.1915
insomnia,0.06349,0.047935,3,0.1905
attempts,0.06341,0.010152,4,0.2536
tylenol,0.060384,0.028744,4,0.2415
ceftriaxone,0.060372,0.025402,3,0.1811
recent,0.055789,0.078051,22,1.2273
meds,0.055718,0.032284,7,0.39
vancomycin,0.053125,0.036398,4,0.2125
chronic,0.052338,0.071086,27,1.4131
traumatic,0.05183,0.027239,6,0.311
steroids,0.051036,0.025593,3,0.1531
asthma,0.050832,0.024529,7,0.3558
multiple,0.050334,0.1099,22,1.1074
herpes,0.049276,0.013425,3,0.1478
viral,0.046917,0.062076,3,0.1408
paranoid,0.046365,0.036985,3,0.1391
hepatitis,0.045609,0.02968,9,0.4105
sputum,0.045199,0.038357,3,0.1356
herself,0.044925,0.011097,4,0.1797
