word,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
psych,0.39353,0.224093,5,1.9676
-depression,0.237937,0.150473,3,0.7138
anxiety,0.223455,0.275841,13,2.9049
bipolar,0.214141,0.215317,12,2.5697
psychiatric,0.205396,0.167607,15,3.0809
numerous,0.201256,0.145546,3,0.6038
dilaudid,0.195449,0.112335,4,0.7818
overdose,0.177351,0.106784,3,0.5321
disorder,0.17136,0.161773,26,4.4553
suicide,0.166851,0.093557,11,1.8354
abuse,0.146397,0.147596,22,3.2207
psychotic,0.144915,0.118654,3,0.4347
methadone,0.13373,0.07894,3,0.4012
substance,0.130109,0.084879,9,1.171
depression,0.126026,0.141266,24,3.0246
morphine,0.123348,0.055691,6,0.7401
stress,0.115029,0.106903,7,0.8052
psychiatry,0.110776,0.057464,4,0.4431
polysubstance,0.109261,0.086903,9,0.9834
suicidal,0.105637,0.069135,11,1.162
hospitalizations,0.103734,0.089326,6,0.6224
-anxiety,0.099341,0.053018,3,0.298
oxycodone,0.098018,0.031058,3,0.2941
panic,0.088948,0.109288,7,0.6226
hysterectomy,0.0877,0.053813,3,0.2631
admission,0.086219,0.20575,18,1.5519
heroin,0.086213,0.018838,3,0.2586
hospitalization,0.082783,0.087735,7,0.5795
heparin,0.079361,0.079031,3,0.2381
personality,0.076807,0.072467,9,0.6913
cocaine,0.070874,0.042762,4,0.2835
acetaminophen,0.065407,0.021041,6,0.3924
recent,0.064689,0.086047,17,1.0997
insomnia,0.06349,0.047935,3,0.1905
attempts,0.06341,0.010152,4,0.2536
meds,0.061344,0.031534,6,0.3681
tylenol,0.060384,0.028744,4,0.2415
ceftriaxone,0.060372,0.025402,3,0.1811
chronic,0.053185,0.070696,27,1.436
vancomycin,0.053125,0.036398,4,0.2125
multiple,0.051879,0.112252,21,1.0895
traumatic,0.05183,0.027239,6,0.311
steroids,0.051036,0.025593,3,0.1531
asthma,0.050832,0.024529,7,0.3558
herpes,0.049276,0.013425,3,0.1478
recently,0.049004,0.079036,13,0.6371
flagyl,0.048057,0.01419,3,0.1442
syndrome,0.047204,0.040365,6,0.2832
viral,0.046917,0.062076,3,0.1408
pacu,0.046623,0.02791,4,0.1865
