word,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
bipolar,0.112087,0.172249,27,3.0263
pylori,0.074193,0.036738,3,0.2226
personality,0.066703,0.035693,10,0.667
schizoaffective,0.063255,0.030768,6,0.3795
disorder,0.060775,0.066759,39,2.3702
inr,0.052769,0.066878,6,0.3166
coumadin,0.048444,0.045677,7,0.3391
abusive,0.044731,0.018102,3,0.1342
transferred,0.044299,0.041066,21,0.9303
arthritis,0.043644,0.00898,3,0.1309
hepatic,0.043467,0.054089,3,0.1304
depression,0.042188,0.05588,36,1.5188
detox,0.040783,0.013604,4,0.1631
-percutaneous,0.040058,0.025037,3,0.1202
substance,0.039,0.076845,30,1.17
heroin,0.038103,0.028996,5,0.1905
abuse,0.037911,0.051095,41,1.5543
psychiatric,0.037059,0.035117,36,1.3341
assault,0.036785,0.023989,4,0.1471
transitional,0.036195,0.045441,9,0.3258
well-controlled,0.035984,0.025929,3,0.108
female,0.03387,0.097936,13,0.4403
endometriosis,0.033095,0.034441,5,0.1655
hospitalizations,0.032164,0.021929,5,0.1608
psych,0.031509,0.030419,6,0.1891
thyroidectomy,0.031443,0.005996,3,0.0943
mvc,0.031141,0.012442,3,0.0934
kill,0.030794,0.026527,5,0.154
ulcer,0.030278,0.018631,4,0.1211
polysubstance,0.029865,0.0235,7,0.2091
suicidal,0.029676,0.032344,30,0.8903
c-section,0.029539,0.031755,3,0.0886
psychiatry,0.029318,0.03669,14,0.4105
hyperlipidemia,0.029069,0.017441,3,0.0872
depressive,0.028973,0.052435,13,0.3766
suicide,0.028937,0.023746,33,0.9549
gerd,0.02854,0.020928,8,0.2283
psychosocial,0.028006,0.020462,5,0.14
copd,0.026104,0.059708,16,0.4177
cognitive,0.026009,0.028397,5,0.13
hurt,0.025893,0.020752,4,0.1036
hepatitis,0.024902,0.028996,9,0.2241
seizures,0.024824,0.019445,4,0.0993
metformin,0.024803,0.035875,4,0.0992
telemetry,0.024403,0.021235,3,0.0732
workup,0.024401,0.028454,6,0.1464
spontaneous,0.023555,0.020548,3,0.0707
borderline,0.023049,0.022652,10,0.2305
psychiatrist,0.023025,0.020158,10,0.2302
anxiety,0.022992,0.028165,24,0.5518
