word,mean_abs_attribution,std_attribution,n_occurrences,total_attribution
bipolar,0.149105,0.316057,32,4.7714
narcotic,0.116482,0.108619,5,0.5824
illness,0.115731,0.160343,3,0.3472
arrested,0.08641,0.072284,3,0.2592
delayed,0.084704,0.113956,3,0.2541
pancreatitis,0.080756,0.050773,4,0.323
schizoaffective,0.078925,0.03786,8,0.6314
psychosis,0.077323,0.06827,3,0.232
anemia,0.075345,0.051885,4,0.3014
assault,0.074363,0.03838,3,0.2231
psych,0.073747,0.056494,7,0.5162
personality,0.07314,0.066224,11,0.8045
hyperlipidemia,0.073136,0.036124,3,0.2194
mrcp,0.070413,0.030612,4,0.2817
ocd,0.068454,0.058832,5,0.3423
disorder,0.066487,0.151706,46,3.0584
hypothyroidism,0.065042,0.11417,9,0.5854
foreign,0.06343,0.050674,4,0.2537
hiv,0.061395,0.110936,7,0.4298
against,0.060623,0.060918,4,0.2425
ambulate,0.060084,0.072612,3,0.1803
coumadin,0.059454,0.04518,6,0.3567
diagnosed,0.058989,0.041717,5,0.2949
documented,0.058945,0.06077,3,0.1768
motor,0.058482,0.123116,8,0.4679
migraines,0.05723,0.036454,4,0.2289
substance,0.056164,0.142213,28,1.5726
osh,0.056107,0.061675,6,0.3366
copd,0.054855,0.099547,15,0.8228
social,0.05472,0.111531,13,0.7114
psychiatrist,0.054182,0.06552,8,0.4335
transferred,0.051865,0.052128,18,0.9336
attributed,0.050396,0.059512,3,0.1512
trying,0.050126,0.065077,7,0.3509
seizures,0.049372,0.027367,3,0.1481
disease,0.048532,0.048135,4,0.1941
yo,0.048516,0.041564,14,0.6792
psychiatric,0.048347,0.044597,46,2.224
bacteremia,0.048104,0.009826,4,0.1924
hypertension,0.047509,0.035681,3,0.1425
osa,0.046339,0.019164,4,0.1854
used,0.04549,0.068646,4,0.182
year-old,0.045216,0.022018,8,0.3617
depression,0.044706,0.070967,34,1.52
popliteal,0.044345,0.05844,4,0.1774
tachycardia,0.044211,0.033835,9,0.3979
htn,0.044137,0.055027,11,0.4855
detox,0.04389,0.037347,4,0.1756
paranoid,0.043304,0.06279,7,0.3031
mgus,0.04329,0.010019,4,0.1732
