type,bin,n,mean_predicted,observed_fraction,ci_lower,ci_upper
raw,1,155,0.0326,0.0387,0.0179,0.0819
raw,2,155,0.0552,0.0903,0.0546,0.1459
raw,3,155,0.0961,0.1097,0.0696,0.1686
raw,4,155,0.1651,0.1484,0.101,0.2128
raw,5,155,0.2933,0.2774,0.213,0.3526
raw,6,155,0.5088,0.3677,0.2959,0.446
raw,7,155,0.7384,0.529,0.4507,0.606
raw,8,155,0.9021,0.7613,0.6884,0.8216
raw,9,155,0.979,0.9484,0.9015,0.9736
raw,10,156,0.9981,0.9808,0.945,0.9934
platt_scaled,1,155,0.063,0.0387,0.0179,0.0819
platt_scaled,2,155,0.0696,0.0903,0.0546,0.1459
platt_scaled,3,155,0.0831,0.1097,0.0696,0.1686
platt_scaled,4,155,0.1115,0.1484,0.101,0.2128
platt_scaled,5,155,0.1882,0.2774,0.213,0.3526
platt_scaled,6,155,0.3856,0.3677,0.2959,0.446
platt_scaled,7,155,0.6427,0.529,0.4507,0.606
platt_scaled,8,155,0.7946,0.7613,0.6884,0.8216
platt_scaled,9,155,0.848,0.9484,0.9015,0.9736
platt_scaled,10,156,0.8593,0.9808,0.945,0.9934
ece_summary,raw,1551,0.0626,,,
ece_summary,platt_scaled,1551,0.0585,,,
