type,bin,n,mean_predicted,observed_fraction,ci_lower,ci_upper
raw,1,155,0.6473,0.0452,0.022,0.0903
raw,2,155,0.8191,0.1226,0.0799,0.1835
raw,3,155,0.9144,0.1097,0.0696,0.1686
raw,4,155,0.9622,0.1355,0.0904,0.1982
raw,5,155,0.985,0.2194,0.1614,0.2909
raw,6,155,0.9958,0.4129,0.3384,0.4916
raw,7,155,0.9995,0.5548,0.4762,0.6308
raw,8,155,1.0,0.729,0.6542,0.7928
raw,9,155,1.0,0.9226,0.8696,0.9552
raw,10,156,1.0,1.0,0.976,1.0
platt_scaled,1,155,0.052,0.0452,0.022,0.0903
platt_scaled,2,155,0.1714,0.1226,0.0799,0.1835
platt_scaled,3,155,0.3214,0.1097,0.0696,0.1686
platt_scaled,4,155,0.419,0.1355,0.0904,0.1982
platt_scaled,5,155,0.4692,0.2194,0.1614,0.2909
platt_scaled,6,155,0.4934,0.4129,0.3384,0.4916
platt_scaled,7,155,0.5015,0.5548,0.4762,0.6308
platt_scaled,8,155,0.5026,0.729,0.6542,0.7928
platt_scaled,9,155,0.5026,0.9226,0.8696,0.9552
platt_scaled,10,156,0.5026,1.0,0.976,1.0
elkan_noto,1,155,0.0525,0.0452,0.022,0.0903
elkan_noto,2,155,0.173,0.1226,0.0799,0.1835
elkan_noto,3,155,0.3244,0.1097,0.0696,0.1686
elkan_noto,4,155,0.4229,0.1355,0.0904,0.1982
elkan_noto,5,155,0.4736,0.2194,0.1614,0.2909
elkan_noto,6,155,0.498,0.4129,0.3384,0.4916
elkan_noto,7,155,0.5062,0.5548,0.4762,0.6308
elkan_noto,8,155,0.5073,0.729,0.6542,0.7928
elkan_noto,9,155,0.5073,0.9226,0.8696,0.9552
elkan_noto,10,156,0.5073,1.0,0.976,1.0
ece_summary,raw,1551,0.5068,,,
ece_summary,platt_scaled,1551,0.208,,,
ece_summary,elkan_noto,1551,0.2079,,,
elkan_noto_c,c_estimate,580,0.9907,,,
