type,bin,n,mean_predicted,observed_fraction,ci_lower,ci_upper
raw,1,155,0.5877,0.0903,0.0546,0.1459
raw,2,155,0.7538,0.0903,0.0546,0.1459
raw,3,155,0.8566,0.1226,0.0799,0.1835
raw,4,155,0.9303,0.1935,0.1391,0.2628
raw,5,155,0.9659,0.2774,0.213,0.3526
raw,6,155,0.986,0.3419,0.2719,0.4196
raw,7,155,0.9967,0.5548,0.4762,0.6308
raw,8,155,0.9998,0.6903,0.6137,0.7578
raw,9,155,1.0,0.8968,0.8389,0.9355
raw,10,156,1.0,0.9936,0.9646,0.9989
platt_scaled,1,155,0.0339,0.0903,0.0546,0.1459
platt_scaled,2,155,0.1169,0.0903,0.0546,0.1459
platt_scaled,3,155,0.2477,0.1226,0.0799,0.1835
platt_scaled,4,155,0.3867,0.1935,0.1391,0.2628
platt_scaled,5,155,0.4645,0.2774,0.213,0.3526
platt_scaled,6,155,0.5095,0.3419,0.2719,0.4196
platt_scaled,7,155,0.5334,0.5548,0.4762,0.6308
platt_scaled,8,155,0.5405,0.6903,0.6137,0.7578
platt_scaled,9,155,0.5409,0.8968,0.8389,0.9355
platt_scaled,10,156,0.5409,0.9936,0.9646,0.9989
elkan_noto,1,155,0.0345,0.0903,0.0546,0.1459
elkan_noto,2,155,0.1189,0.0903,0.0546,0.1459
elkan_noto,3,155,0.2521,0.1226,0.0799,0.1835
elkan_noto,4,155,0.3935,0.1935,0.1391,0.2628
elkan_noto,5,155,0.4727,0.2774,0.213,0.3526
elkan_noto,6,155,0.5185,0.3419,0.2719,0.4196
elkan_noto,7,155,0.5429,0.5548,0.4762,0.6308
elkan_noto,8,155,0.5501,0.6903,0.6137,0.7578
elkan_noto,9,155,0.5505,0.8968,0.8389,0.9355
elkan_noto,10,156,0.5505,0.9936,0.9646,0.9989
ece_summary,raw,1551,0.4822,,,
ece_summary,platt_scaled,1551,0.1738,,,
ece_summary,elkan_noto,1551,0.1729,,,
elkan_noto_c,c_estimate,580,0.9826,,,
