type,bin,n,mean_predicted,observed_fraction,ci_lower,ci_upper
raw,1,155,0.01,0.0516,0.0264,0.0985
raw,2,155,0.0174,0.071,0.0401,0.1226
raw,3,155,0.0303,0.1097,0.0696,0.1686
raw,4,155,0.0569,0.1548,0.1063,0.2201
raw,5,155,0.1307,0.2968,0.2305,0.3729
raw,6,155,0.3049,0.4,0.3262,0.4786
raw,7,155,0.6227,0.4581,0.3816,0.5366
raw,8,155,0.9018,0.7613,0.6884,0.8216
raw,9,155,0.9903,0.9484,0.9015,0.9736
raw,10,156,0.9995,1.0,0.976,1.0
platt_scaled,1,155,0.1071,0.0516,0.0264,0.0985
platt_scaled,2,155,0.1101,0.071,0.0401,0.1226
platt_scaled,3,155,0.1155,0.1097,0.0696,0.1686
platt_scaled,4,155,0.1273,0.1548,0.1063,0.2201
platt_scaled,5,155,0.1665,0.2968,0.2305,0.3729
platt_scaled,6,155,0.294,0.4,0.3262,0.4786
platt_scaled,7,155,0.6022,0.4581,0.3816,0.5366
platt_scaled,8,155,0.829,0.7613,0.6884,0.8216
platt_scaled,9,155,0.8767,0.9484,0.9015,0.9736
platt_scaled,10,156,0.8808,1.0,0.976,1.0
elkan_noto,1,155,0.1471,0.0516,0.0264,0.0985
elkan_noto,2,155,0.1511,0.071,0.0401,0.1226
elkan_noto,3,155,0.1585,0.1097,0.0696,0.1686
elkan_noto,4,155,0.1748,0.1548,0.1063,0.2201
elkan_noto,5,155,0.2286,0.2968,0.2305,0.3729
elkan_noto,6,155,0.4037,0.4,0.3262,0.4786
elkan_noto,7,155,0.8255,0.4968,0.4191,0.5746
elkan_noto,8,155,1.0,0.871,0.8091,0.9149
elkan_noto,9,155,1.0,0.9161,0.8618,0.9503
elkan_noto,10,156,1.0,0.8846,0.825,0.9258
ece_summary,raw,1551,0.0881,,,
ece_summary,platt_scaled,1551,0.0767,,,
ece_summary,elkan_noto,1551,0.0973,,,
elkan_noto_c,c_estimate,580,0.7283,,,
