group,value,n,n_pos,calibration_in_large,cal_ci_lo,cal_ci_hi,recall_at_threshold,AUPRC,AUPRC_ci_lo,AUPRC_ci_hi,AUPRC_ci_width,AUPRC_reliable
sex,F,940,433,0.03,0.429,0.4926,0.8915,0.9252,0.9078,0.9417,0.0339,True
sex,M,611,227,0.0107,0.3341,0.4105,0.7753,0.8282,0.7883,0.8656,0.0773,True
age_group,20s,293,140,0.0315,0.4213,0.5349,0.9286,0.9442,0.918,0.9675,0.0495,True
age_group,30s,359,194,-0.0163,0.4887,0.5912,0.8402,0.9199,0.8886,0.9464,0.0578,True
age_group,40s,308,131,0.0454,0.3714,0.4811,0.8702,0.8766,0.8311,0.9186,0.0875,True
age_group,50s,277,81,0.113,0.242,0.3485,0.9012,0.8669,0.8023,0.9197,0.1174,True
age_group,Other,314,114,-0.0442,0.3118,0.4176,0.7193,0.845,0.7866,0.8927,0.1061,True
race,Asian,48,5,0.1375,0.0453,0.2217,0.8,0.8476,0.451,1.0,0.549,False
race,Black,209,91,0.0757,0.37,0.5032,0.9121,0.9322,0.892,0.9636,0.0716,True
race,Hispanic,93,44,0.0257,0.3747,0.5736,0.8409,0.8654,0.7714,0.9371,0.1657,False
race,Other/Unknown,118,35,0.0326,0.2217,0.3844,0.8,0.8924,0.8128,0.9569,0.1441,True
race,White,1083,485,0.0057,0.4184,0.4776,0.8454,0.892,0.8692,0.9125,0.0433,True
race_binary,Non-White,468,175,0.0612,0.3313,0.4186,0.8686,0.9048,0.8718,0.9343,0.0625,True
race_binary,White,1083,485,0.0057,0.4184,0.4776,0.8454,0.892,0.8692,0.9125,0.0433,True
emergency,False,696,210,0.0659,0.2688,0.3368,0.8286,0.831,0.7864,0.8699,0.0835,True
emergency,True,855,450,-0.013,0.4928,0.5596,0.8622,0.9251,0.9086,0.9416,0.033,True
