group,value,n,n_pos,calibration_in_large,cal_ci_lo,cal_ci_hi,recall_at_threshold,AUPRC,AUPRC_ci_lo,AUPRC_ci_hi,AUPRC_ci_width,AUPRC_reliable
sex,F,940,433,0.4748,0.429,0.4926,0.8891,0.9128,0.8924,0.9316,0.0392,True
sex,M,611,227,0.5561,0.3341,0.4105,0.7621,0.8012,0.758,0.8447,0.0867,True
age_group,20s,293,140,0.4607,0.4213,0.5349,0.9357,0.9453,0.9166,0.9682,0.0516,True
age_group,30s,359,194,0.4101,0.4887,0.5912,0.8351,0.904,0.8697,0.9326,0.0629,True
age_group,40s,308,131,0.5124,0.3714,0.4811,0.8321,0.8522,0.7973,0.8982,0.1009,True
age_group,50s,277,81,0.63,0.242,0.3485,0.8642,0.8364,0.7647,0.9,0.1353,True
age_group,Other,314,114,0.5464,0.3118,0.4176,0.7544,0.826,0.7575,0.8774,0.1199,True
race,Asian,48,5,0.7647,0.0453,0.2217,0.6,0.6774,0.1526,1.0,0.8474,False
race,Black,209,91,0.5065,0.37,0.5032,0.9011,0.9282,0.8879,0.9611,0.0732,True
race,Hispanic,93,44,0.4693,0.3747,0.5736,0.8864,0.8824,0.8013,0.9485,0.1472,True
race,Other/Unknown,118,35,0.62,0.2217,0.3844,0.8571,0.9082,0.8239,0.9667,0.1428,True
race,White,1083,485,0.4864,0.4184,0.4776,0.833,0.8687,0.8421,0.8929,0.0508,True
race_binary,Non-White,468,175,0.5542,0.3313,0.4186,0.88,0.9038,0.8695,0.9326,0.0631,True
race_binary,White,1083,485,0.4864,0.4184,0.4776,0.833,0.8687,0.8421,0.8929,0.0508,True
emergency,False,696,210,0.6178,0.2688,0.3368,0.8,0.8013,0.7518,0.8452,0.0934,True
emergency,True,855,450,0.4165,0.4928,0.5596,0.8667,0.9161,0.8971,0.9347,0.0376,True
