group,value,n,n_pos,calibration_in_large,cal_ci_lo,cal_ci_hi,recall_at_threshold,AUPRC,AUPRC_ci_lo,AUPRC_ci_hi,AUPRC_ci_width,AUPRC_reliable
sex,F,940,433,-0.0098,0.429,0.4926,0.8845,0.9113,0.891,0.9303,0.0393,True
sex,M,611,227,-0.0323,0.3341,0.4105,0.7709,0.8278,0.7872,0.865,0.0778,True
age_group,20s,293,140,-0.002,0.4213,0.5349,0.9214,0.9359,0.9047,0.9617,0.057,True
age_group,30s,359,194,-0.0568,0.4887,0.5912,0.8402,0.9155,0.8807,0.9418,0.0611,True
age_group,40s,308,131,0.0046,0.3714,0.4811,0.855,0.862,0.8123,0.9065,0.0942,True
age_group,50s,277,81,0.07,0.242,0.3485,0.9012,0.8586,0.7938,0.9106,0.1168,True
age_group,Other,314,114,-0.0918,0.3118,0.4176,0.7105,0.8309,0.7699,0.8798,0.1099,True
race,Asian,48,5,0.084,0.0453,0.2217,0.8,0.8435,0.4386,1.0,0.5614,False
race,Black,209,91,0.0488,0.37,0.5032,0.9011,0.9258,0.8878,0.9578,0.07,True
race,Hispanic,93,44,-0.0013,0.3747,0.5736,0.8182,0.8242,0.7211,0.9109,0.1898,False
race,Other/Unknown,118,35,0.0005,0.2217,0.3844,0.8286,0.8804,0.7908,0.9499,0.1591,False
race,White,1083,485,-0.0399,0.4184,0.4776,0.8392,0.8859,0.8635,0.9076,0.0441,True
race_binary,Non-White,468,175,0.0303,0.3313,0.4186,0.8629,0.8913,0.8523,0.9241,0.0718,True
race_binary,White,1083,485,-0.0399,0.4184,0.4776,0.8392,0.8859,0.8635,0.9076,0.0441,True
emergency,False,696,210,0.022,0.2688,0.3368,0.8143,0.8219,0.7778,0.8614,0.0836,True
emergency,True,855,450,-0.0518,0.4928,0.5596,0.86,0.9167,0.8985,0.935,0.0365,True
