group,value,n,n_pos,AUPRC,AUROC
sex,F,940,433,0.9128,0.9093
sex,M,611,227,0.8012,0.8395
age_group,20s,293,140,0.9453,0.9448
age_group,30s,359,194,0.904,0.8675
age_group,40s,308,131,0.8522,0.8657
age_group,50s,277,81,0.8364,0.8961
age_group,Other,314,114,0.826,0.8515
race,Asian,48,5,0.6774,0.8744
race,Black,209,91,0.9282,0.9258
race,Hispanic,93,44,0.8824,0.8731
race,Other/Unknown,118,35,0.9082,0.9373
race,White,1083,485,0.8687,0.8716
race_binary,Non-White,468,175,0.9038,0.918
race_binary,White,1083,485,0.8687,0.8716
emergency,False,696,210,0.8013,0.8595
emergency,True,855,450,0.9161,0.8967
