model,group,value,n,n_pos,sens,spec,NNS_1pct,NNS_2pct,NNS_5pct,NNS_10pct
longformer_pulsnar,sex,F,940,433,0.8845,0.7239,31.91,16.3,6.93,3.81
longformer_pulsnar,sex,M,611,227,0.7709,0.7734,30.09,15.4,6.58,3.64
longformer_pulsnar,age_group,20s,293,140,0.9214,0.7712,25.58,13.16,5.72,3.23
longformer_pulsnar,age_group,30s,359,194,0.8402,0.703,35.99,18.32,7.72,4.18
longformer_pulsnar,age_group,40s,308,131,0.855,0.6667,39.6,20.1,8.41,4.51
longformer_pulsnar,age_group,50s,277,81,0.9012,0.7092,32.95,16.81,7.13,3.9
longformer_pulsnar,age_group,Other,314,114,0.7105,0.865,19.81,10.31,4.61,2.71
longformer_pulsnar,race_binary,Non-White,468,175,0.8629,0.7543,29.19,14.95,6.41,3.56
longformer_pulsnar,race_binary,White,1083,485,0.8392,0.7408,31.58,16.13,6.87,3.78
longformer_pulsnar,emergency,False,696,210,0.8143,0.7428,32.27,16.48,7.0,3.84
longformer_pulsnar,emergency,True,855,450,0.86,0.7481,29.99,15.35,6.56,3.64
bert_trunc,sex,F,940,433,0.873,0.7337,31.2,15.95,6.8,3.75
bert_trunc,sex,M,611,227,0.7225,0.7214,39.18,19.9,8.33,4.47
bert_trunc,age_group,20s,293,140,0.9214,0.7647,26.28,13.51,5.85,3.3
bert_trunc,age_group,30s,359,194,0.8196,0.6788,39.8,20.2,8.45,4.53
bert_trunc,age_group,40s,308,131,0.8397,0.6836,38.3,19.46,8.16,4.39
bert_trunc,age_group,50s,277,81,0.8148,0.7041,36.95,18.8,7.9,4.27
bert_trunc,age_group,Other,314,114,0.6842,0.805,29.22,14.97,6.42,3.57
bert_trunc,race_binary,Non-White,468,175,0.8686,0.7543,29.01,14.86,6.38,3.55
bert_trunc,race_binary,White,1083,485,0.8041,0.7157,36.0,18.32,7.72,4.18
bert_trunc,emergency,False,696,210,0.7952,0.7346,34.04,17.36,7.34,4.0
bert_trunc,emergency,True,855,450,0.8333,0.721,34.15,17.41,7.36,4.01
bert_chunkpool,sex,F,940,433,0.8891,0.7673,26.91,13.83,5.97,3.36
bert_chunkpool,sex,M,611,227,0.7621,0.7786,29.75,15.23,6.52,3.61
bert_chunkpool,age_group,20s,293,140,0.9357,0.7908,23.13,11.95,5.25,3.01
bert_chunkpool,age_group,30s,359,194,0.8351,0.7273,33.33,17.0,7.21,3.94
bert_chunkpool,age_group,40s,308,131,0.8321,0.7288,33.27,16.97,7.19,3.93
bert_chunkpool,age_group,50s,277,81,0.8642,0.7704,27.3,14.02,6.05,3.39
bert_chunkpool,age_group,Other,314,114,0.7544,0.835,22.65,11.72,5.16,2.97
bert_chunkpool,race_binary,Non-White,468,175,0.88,0.802,23.27,12.02,5.27,3.02
bert_chunkpool,race_binary,White,1083,485,0.833,0.7575,29.82,15.26,6.53,3.62
bert_chunkpool,emergency,False,696,210,0.8,0.7737,29.01,14.86,6.38,3.55
bert_chunkpool,emergency,True,855,450,0.8667,0.7704,27.23,13.98,6.03,3.38
structured,sex,F,940,433,0.9423,0.2051,84.51,42.34,17.03,8.59
structured,sex,M,611,227,0.8458,0.2083,93.66,46.86,18.78,9.42
structured,age_group,20s,293,140,0.9571,0.1438,89.56,44.83,18.0,9.05
structured,age_group,30s,359,194,0.9691,0.1939,83.35,41.76,16.8,8.49
structured,age_group,40s,308,131,0.9084,0.2486,82.89,41.53,16.72,8.44
structured,age_group,50s,277,81,0.8519,0.1888,95.28,47.66,19.09,9.57
structured,age_group,Other,314,114,0.7895,0.245,95.68,47.86,19.17,9.61
structured,race_binary,Non-White,468,175,0.7029,0.6041,56.76,28.6,11.7,6.07
structured,race_binary,White,1083,485,0.9835,0.0117,100.48,50.24,20.09,10.04
structured,emergency,False,696,210,0.8905,0.2119,88.61,44.36,17.81,8.96
structured,emergency,True,855,450,0.9178,0.2,87.3,43.71,17.56,8.85
keyword,sex,F,940,433,1.0,0.0,100.0,50.0,20.0,10.0
keyword,sex,M,611,227,1.0,0.0,100.0,50.0,20.0,10.0
keyword,age_group,20s,293,140,1.0,0.0,100.0,50.0,20.0,10.0
keyword,age_group,30s,359,194,1.0,0.0,100.0,50.0,20.0,10.0
keyword,age_group,40s,308,131,1.0,0.0,100.0,50.0,20.0,10.0
keyword,age_group,50s,277,81,1.0,0.0,100.0,50.0,20.0,10.0
keyword,age_group,Other,314,114,1.0,0.0,100.0,50.0,20.0,10.0
keyword,race_binary,Non-White,468,175,1.0,0.0,100.0,50.0,20.0,10.0
keyword,race_binary,White,1083,485,1.0,0.0,100.0,50.0,20.0,10.0
keyword,emergency,False,696,210,1.0,0.0,100.0,50.0,20.0,10.0
keyword,emergency,True,855,450,1.0,0.0,100.0,50.0,20.0,10.0
